baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000303.12	2782.16261699546	5.82549529462587	0.142999168923007	40.7379660909947	0	0
ENSMUSG00000025608.9	4401.56534143098	8.31225135747493	0.197505154858431	42.086250171207	0	0
ENSMUSG00000045545.8	4088.20795367509	9.12440918321026	0.238754477165166	38.216704002992	0	0
ENSMUSG00000047586.4	2408.90595432124	7.42296378299276	0.196902014591785	37.6987701135611	0	0
ENSMUSG00000054889.10	6835.16817207395	4.65297604494062	0.114966958598624	40.4722896183173	0	0
ENSMUSG00000097767.8	4106.68367993541	6.59499319979705	0.15145966073448	43.5429022342692	0	0
ENSMUSG00000020758.15	6336.55780644726	4.25979469873642	0.114953769273558	37.0565900157593	1.40653837640218e-300	4.15632090226844e-297
ENSMUSG00000030693.10	1240.44618224981	5.46808425411161	0.148342241934999	36.8612755394896	1.92951348633684e-297	4.9889983081097e-294
ENSMUSG00000053797.10	2357.45787895394	7.97906087690907	0.217495823335371	36.6860418492065	1.21927292021728e-294	2.80229559496604e-291
ENSMUSG00000024406.16	2300.51694785208	4.48192687960551	0.12301361076251	36.4343982086529	1.21523073765114e-290	2.51370478083137e-287
ENSMUSG00000037820.15	3906.45060832596	4.02387752332289	0.110661832776324	36.3619273454124	1.70257738978139e-289	3.20161939160254e-286
ENSMUSG00000047281.3	1063.6857319918	5.25833356000955	0.149606919675806	35.147662764558	1.26202664495049e-270	2.1754184292334e-267
ENSMUSG00000056602.12	1176.47053966577	5.38981144405896	0.153526867388648	35.1066333582828	5.33949482464598e-270	8.49595772675401e-267
ENSMUSG00000027375.14	3835.46863740718	5.76191382965375	0.164584941725639	35.0087545630924	1.65558284508969e-268	2.44612365362002e-265
ENSMUSG00000037185.9	1422.64967868084	4.99080678215339	0.14386767941268	34.6902570648785	1.10498567356109e-263	1.52377524384074e-260
ENSMUSG00000026413.12	1670.17828531983	5.50790485052876	0.162342944456511	33.927589948353	2.61137476970724e-252	3.37601794446214e-249
ENSMUSG00000031995.9	1272.04777520555	6.0094755334186	0.18016146794212	33.3560533340528	5.95176787261718e-244	7.24190108500508e-241
